company_name,experience_required,job_description,job_title,keyskills,link_job_description,location,posted_by,salary
NISG ( National Institute of Smart Government),4-9 yrs,Experience in data mining techniques;Experience	4+ years/ or MBA / Masters with 2+ years of relevant ...,Data Analyst - Ministry of Rural Development - New Delhi,"data analysis, data mining, data analytics, r, statistics, Python...",https://www.naukri.com/job-listings-Data-Analyst-Ministry-of-Rural-Development-New-Delhi-NISG-National-Institute-of-Smart-Government-Delhi-NCR-4-to-9-years-110918002745?src=jobsearchDesk&sid=15389014482083&xp=23&px=1,Delhi NCR,  Shunali Moza  ,  Not disclosed 
SLA Consultants India,0-5 yrs,N/A,"Data Analyst / Data Science - Excel,sql,sas,python, R - Analytics Team","data analyst, reporting analyst, sas, statistics, sas programmer...",https://www.naukri.com/job-listings-Data-Analyst-Data-Science-Excel-sql-sas-python-R-Analytics-Team-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-270918000257?src=jobsearchDesk&sid=15389014482083&xp=24&px=1,"Delhi NCR, Gurgaon, Noida",  Bhanu  ,"    2,00,000 - 4,25,000 P.A.  "
Markit India Services Private Limited,3-6 yrs,"3 years minimum relevant experience;Experience of handling large data sets;A degree ideally in an IT, ...",Senior Data Analyst Plsql | Gurgaon,"excel, market data, data analysis, database design, plsql, PLSQL Developer",https://www.naukri.com/job-listings-Senior-Data-Analyst-Plsql-Gurgaon-Markit-India-Services-Private-Limited-Gurgaon-3-to-6-years-280818005509?src=jobsearchDesk&sid=15389014482083&xp=25&px=1,Gurgaon,  Urvashee Kansal  ,"    5,00,000 - 8,50,000 P.A.  "
India Infoline Limited,2-7 yrs,Good knowledge on advance excel;Must have MS Office and Computer Knowledge;Good Communication skills ...,Mega Walk In | MIS- Data Analyst | 28 Sept,"mis, Advanced Excel, Stakeholder Management, macros, pivot, excel, HLOOKUP,...",https://www.naukri.com/job-listings-Mega-Walk-In-MIS-Data-Analyst-28-Sept-18-India-Infoline-Limited-Delhi-NCR-Delhi-Gurgaon-2-to-7-years-270918002982?src=jobsearchDesk&sid=15389014482083&xp=26&px=1,"Delhi NCR, Delhi, Gurgaon",  HIMANSHU SURI  ,"    3,00,000 - 8,00,000 P.A.  "
Aakash Educational Services Pvt Ltd,5-10 yrs,"Relevant experience in utilising multiple data sources;Experience of 4-5 years in Banks, Consumer ...",Manager/ Sr Manager- Data Analyst,"marketing research, excel, data analysis, Sql, Business Analyst",https://www.naukri.com/job-listings-Manager-Sr-Manager-Data-Analyst-Aakash-Educational-Services-Pvt-Ltd-Delhi-NCR-Karol-Bagh-5-to-10-years-250918001365?src=jobsearchDesk&sid=15389014482083&xp=27&px=1,Delhi NCR(Karol Bagh),  Aakash Educational Services Pvt Ltd  ,"    10,00,000 - 12,00,000 P.A.  "
Careernet Technologies Pvt Ltd,1-5 yrs,1-5 years of experience in working with data and conducting statistical and/or numerical analysis;BA/BSc/ ...,Looking for Jnr/senior/data Analyst- Only Premium Institutes.,"data analysis, data analyst",https://www.naukri.com/job-listings-Looking-for-Jnr-senior-data-Analyst-Only-Institutes-Careernet-Technologies-Pvt-Ltd-Gurgaon-1-to-5-years-260918008493?src=jobsearchDesk&sid=15389014482083&xp=28&px=1,Gurgaon,  Vishal  ,  Not disclosed 
HERE Solutions India Private Limited,2-4 yrs,N/A,Data Analyst,"Database Testing, Team Leading, Data Analysis, Data Analyst, Analyst",https://www.naukri.com/job-listings-Data-Analyst-HERE-Solutions-India-Private-Limited-Gurgaon-2-to-4-years-240918900596?src=jobsearchDesk&sid=15389014482083&xp=29&px=1,Gurgaon,  HR  ,  Not disclosed 
TheRecruit,5-10 yrs,E- Commerce Experience Mandatory.  Responsibilities :  - Monitor and audit data quality. ...,Data Analyst - R/python/perl,"html, mysql, web analytics, sql server, google analytics, python, ms access...",https://www.naukri.com/job-listings-Data-Analyst-R-python-perl-TheRecruit-Gurgaon-Gurugram-5-to-10-years-240918900225?src=jobsearchDesk&sid=15389014482083&xp=30&px=1,"Gurgaon, Gurugram",  HR  ,  Not disclosed 
Loginworks software Pvt Ltd,1-3 yrs,Note: Only male candidates are preferable and the one who is having a sound knowledge of Excel & SQL. ...,Data Analyst,"excel, data analysis, data mining, data quality, macros, market research...",https://www.naukri.com/job-listings-Data-Analyst-Loginworks-software-Pvt-Ltd-Noida-Sector-63-Noida-1-to-3-years-190918009572?src=jobsearchDesk&sid=15389014482083&xp=31&px=1,Noida(Sector-63 Noida),  Tanu Gupta  ,  Not disclosed 
RMS Risk Mangement Solutions India Pvt Ltd,7-12 yrs,"6-8 years relevant experience in risk analytics for P&C insurance, reinsurance, or insurance linked ...",Lead Data Analyst - CAT Modelling,"risk management, data analytics, excel, data interpretation, risk analytics...",https://www.naukri.com/job-listings-Lead-Data-Analyst-CAT-Modelling-RMS-Risk-Mangement-Solutions-India-Pvt-Ltd-Noida-7-to-12-years-120918000664?src=jobsearchDesk&sid=15389014482083&xp=32&px=1,Noida,  Akshit Bajaj  ,  Not disclosed 
Alcor Solutions India Private Limited,8-13 yrs,"You should be highly motivated, willing to take on challenging initiatives, and capable of working both ...",Data Analyst - EHR,"Statistical Software, Data Analysis, SAS SQL, Data Visualization...",https://www.naukri.com/job-listings-Data-Analyst-EHR-Alcor-Solutions-India-Private-Limited-Noida-8-to-13-years-130918004193?src=jobsearchDesk&sid=15389014482083&xp=33&px=1,Noida,  Imran Kazi  ,  Not disclosed 
Cargill Business Services India Private Limited,2-5 yrs,"4+ years practical experience with SAS, ETL, data processing and data analytics;2- 4 Years of experience ...",Data Analyst,"Data Analyst, Data Analysis, SAS, ETL, data processing, data analytics...",https://www.naukri.com/job-listings-Data-Analyst-Cargill-Business-Services-India-Private-Limited-Gurgaon-2-to-5-years-100918900436?src=jobsearchDesk&sid=15389014482083&xp=34&px=1,Gurgaon,  HR  ,  Not disclosed 
